state,year,rain_mm_y_fw,rain_days_y_fw,rh_mean_y_fw,temp_mean_y_fw
Johor,2000,243968.16,0,86.62387502214985,25.9775307486036
Johor,2001,243968.16,0,86.2122038734624,26.46360646638587
Johor,2002,243968.16,0,84.77222284048725,26.182807210262524
Johor,2003,243968.16,0,85.55774534994127,26.27716124165299
Johor,2004,243968.16,0,85.23307817251505,26.471714086333936
Johor,2005,243968.16,0,84.03300599841906,26.814030692211904
Johor,2006,243968.16,0,84.95609940834606,26.59338125274645
Johor,2007,243968.16,0,86.70673339193185,26.46135068854157
Johor,2008,243968.16,0,87.75573178091923,26.118958983737688
Johor,2009,243968.16,0,86.42839366030455,26.38280085337049
Johor,2010,243968.16,0,84.65111464405527,26.82310182005285
Johor,2011,243968.16,0,86.40743209490806,26.526349622068096
Johor,2012,243968.16,0,87.70577354198855,26.566855669304307
Johor,2013,243968.16,0,86.65403171023367,27.020604003386936
Johor,2014,243968.16,0,84.80168833317003,27.149963542233667
Johor,2015,243968.16,0,85.02262817930317,27.357680918799065
Johor,2016,243968.16,0,85.34241986793985,27.91614705913322
Johor,2017,243968.16,0,87.63966959360576,27.068744111633144
Johor,2018,243968.16,0,86.43217682591164,26.990353141971468
Johor,2019,243968.16,18942,86.16523613228837,28.020814892305296
Johor,2020,296543.7749306,30989,87.48834025335914,27.4838630718171
Johor,2021,655844.46,55703,84.63544691499986,27.22288605684992
Kedah,2000,58976.88094615,0,78.34013605442178,28.11802721088436
Kedah,2001,58572.23482855,0,82.5067901234568,27.81111111111112
Kedah,2002,58141.42624645,0,100.0,24.0
Kedah,2003,57807.418783,0,76.13459929561564,28.47918017619521
Kedah,2004,57866.7203692,0,79.4060574978565,28.087994920655216
Kedah,2005,57612.0723814,0,77.88228212026488,28.134035554213
Kedah,2006,57851.0228905,0,77.87029436158043,27.936013164727505
Kedah,2007,58253.05276165,0,79.5527151380088,27.74802079824214
Kedah,2008,57702.768925,0,81.30972208278371,27.65408932308442
Kedah,2009,58202.47199695,0,81.5848646669229,27.94818476716745
Kedah,2010,58081.2525781,0,80.96220906377941,28.324217124071524
Kedah,2011,58277.47106185,0,82.17711509729749,27.828315911297697
Kedah,2012,58807.69700905,0,83.85902587924481,27.78737082153872
Kedah,2013,57957.4169128,0,82.26715533383991,28.06086481370897
Kedah,2014,57606.8398885,0,81.16434479816681,28.07244809582948
Kedah,2015,58088.2292353,0,80.47379988311863,28.176753756039265
Kedah,2016,58369.91176975,0,80.79610034446512,28.64203372717699
Kedah,2017,58098.6942211,0,86.7728534659121,27.08221799610766
Kedah,2018,58743.16292995,0,81.5658511217023,28.112148548494247
Kedah,2019,130779.9209619,0,81.994944667018,28.48123808219285
Kedah,2020,295855.30959920003,0,83.70094234679478,28.26829485030801
Kedah,2021,646264.0959845,0,82.81765670807816,27.905633494719847
Kelantan,2000,58532.11904965,0,77.65,28.475
Kelantan,2001,57894.626998,0,81.96031746031746,27.39206349206349
Kelantan,2003,58804.20868045,0,80.05726024551917,27.694804623859323
Kelantan,2004,57629.5140244,0,80.8967714976727,27.663266256218705
Kelantan,2005,57831.8370832,0,80.49604455546755,27.284028682681942
Kelantan,2006,58098.6942211,0,81.2474754627387,27.189001497166306
