state,year,month,temp_mean,rh_mean,rain_mm,rain_days,monsoon
Johor,2002,10,26.227951153324288,84.2876526458616,29406.04,0,Inter
Johor,2002,11,25.694602272727277,87.14630681818181,36642.9,0,NE
Johor,2002,12,25.867667121418823,88.1718963165075,30716.2,0,NE
Johor,2003,1,25.681917211328976,85.92592592592592,23487.239999999998,0,NE
Johor,2003,2,26.435993975903614,83.69051204819277,14026.970000000001,0,NE
Johor,2003,3,27.188730482009504,82.28377460964019,30377.85,0,NE
Johor,2003,4,26.811789772727277,86.89772727272727,33710.815,0,Inter
Johor,2003,5,27.40799448656099,85.90075809786354,42021.03,0,SW
Johor,2003,6,26.917555081734186,84.3496801705757,46800.395000000004,0,SW
Johor,2003,7,25.869888475836436,85.59479553903346,36780.14,0,SW
Johor,2003,8,26.134146341463413,85.39024390243902,49668.3,0,SW
Johor,2003,9,25.67625899280576,86.95971223021583,47306.79,0,SW
Johor,2003,10,26.032258064516128,85.59543010752688,29406.04,0,Inter
Johor,2003,11,25.764705882352946,88.05742296918767,36642.9,0,NE
Johor,2003,12,25.404696132596683,86.04696132596685,30716.2,0,NE
Johor,2004,1,25.72153635116598,84.66666666666667,23487.239999999998,0,NE
Johor,2004,2,26.41489361702128,79.79255319148936,14026.970000000001,0,NE
Johor,2004,3,26.804993252361676,85.46828609986505,30377.85,0,NE
Johor,2004,4,27.459326788218792,83.93618513323983,33710.815,0,Inter
Johor,2004,5,27.3680649526387,84.83152909336941,42021.03,0,SW
Johor,2004,6,27.22074281709881,84.59705676243868,46800.395000000004,0,SW
Johor,2004,7,25.95926680244399,87.45621181262729,36780.14,0,SW
Johor,2004,8,26.57837837837838,83.9391891891892,49668.3,0,SW
Johor,2004,9,25.90579204466155,87.32658757850663,47306.79,0,SW
Johor,2004,10,26.11368421052632,87.81824561403509,29406.04,0,Inter
Johor,2004,11,26.155288822205552,87.65761689291101,36642.9,0,NE
Johor,2004,12,25.958600999286222,85.30681003584229,30716.2,0,NE
Johor,2005,1,25.829545454545453,81.90411931818181,23487.239999999998,0,NE
Johor,2005,2,27.44302848575712,78.02998500749625,14026.970000000001,0,NE
Johor,2005,3,27.36314363143632,81.04674796747967,30377.85,0,NE
Johor,2005,4,27.58309859154929,84.17397454031118,33710.815,0,Inter
Johor,2005,5,27.34612700628053,85.96522356281051,42021.03,0,SW
Johor,2005,6,27.425320056899004,84.33189033189034,46800.395000000004,0,SW
Johor,2005,7,26.67216494845361,85.91123439667129,36780.14,0,SW
Johor,2005,8,26.84536082474227,84.32519190509421,49668.3,0,SW
Johor,2005,9,26.545652173913044,85.23116313094367,47306.79,0,SW
Johor,2005,10,26.274249825540824,85.43335709194584,29406.04,0,Inter
Johor,2005,11,26.121454545454544,86.95867768595042,36642.9,0,NE
Johor,2005,12,26.319222761970853,85.08450704225352,30716.2,0,NE
Johor,2006,1,26.0597439544808,83.37642857142858,23487.239999999998,0,NE
Johor,2006,2,26.67679127725857,84.22004698512139,14026.970000000001,0,NE
Johor,2006,3,27.229295003422312,81.53946465339739,30377.85,0,NE
Johor,2006,4,26.8992700729927,84.32414307004471,33710.815,0,Inter
Johor,2006,5,27.074708704592187,84.79639889196676,42021.03,0,SW
Johor,2006,6,26.416846652267814,87.25566106647187,46800.395000000004,0,SW
Johor,2006,7,26.848670756646214,84.28927335640138,36780.14,0,SW
Johor,2006,8,26.534398888116748,85.68350877192982,49668.3,0,SW
Johor,2006,9,26.27845382963493,85.99490538573508,47306.79,0,SW
Johor,2006,10,26.68038408779149,85.19406077348066,29406.04,0,Inter
Johor,2006,11,26.2713567839196,86.4215900802334,36642.9,0,NE
Johor,2006,12,26.150655021834066,86.37771129394166,30716.2,0,NE
Johor,2007,1,25.87400434467777,86.09222948438635,23487.239999999998,0,NE
Johor,2007,2,26.479786422578183,82.07181054239878,14026.970000000001,0,NE
Johor,2007,3,26.680355920602327,86.18711446196025,30377.85,0,NE
Johor,2007,4,27.06123869171886,86.63952679192762,33710.815,0,Inter
Johor,2007,5,26.93943472409152,88.05114401076716,42021.03,0,SW
Johor,2007,6,27.070833333333333,86.85694444444445,46800.395000000004,0,SW
Johor,2007,7,26.506397306397307,87.53670033670033,36780.14,0,SW
Johor,2007,8,26.295774647887324,87.77062374245473,49668.3,0,SW
Johor,2007,9,26.52252252252252,87.58004158004158,47306.79,0,SW
Johor,2007,10,26.342567567567567,86.54797297297297,29406.04,0,Inter
Johor,2007,11,25.934585942936675,87.64161447459986,36642.9,0,NE
Johor,2007,12,25.82870683818551,87.5050778605281,30716.2,0,NE
Johor,2008,1,26.03731343283582,87.15468113975577,23487.239999999998,0,NE
Johor,2008,2,25.952243125904488,83.17293777134587,14026.970000000001,0,NE
Johor,2008,3,25.889566395663955,87.53252032520325,30377.85,0,NE
Johor,2008,4,26.523504273504276,87.82407407407408,33710.815,0,Inter
Johor,2008,5,26.65170068027211,87.85510204081632,42021.03,0,SW
Johor,2008,6,26.15267175572519,87.61346287300486,46800.395000000004,0,SW
Johor,2008,7,26.027609427609427,87.62962962962963,36780.14,0,SW
Johor,2008,8,25.86413043478261,89.16711956521739,49668.3,0,SW
Johor,2008,9,26.203651685393258,88.22331460674157,47306.79,0,SW
Johor,2008,10,26.031778228532797,89.56659905341446,29406.04,0,Inter
Johor,2008,11,26.17385257301808,89.76912378303199,36642.9,0,NE
Johor,2008,12,25.919485791610285,87.56021650879568,30716.2,0,NE
Johor,2009,1,25.714677640603565,82.95267489711934,23487.239999999998,0,NE
Johor,2009,2,26.374531835205996,83.19550561797753,14026.970000000001,0,NE
Johor,2009,3,25.999322033898306,88.31661016949153,30377.85,0,NE
Johor,2009,4,26.90579204466155,87.39776692254013,33710.815,0,Inter
Johor,2009,5,26.9476861167002,87.58953722334005,42021.03,0,SW
Johor,2009,6,26.98446327683616,85.99505649717514,46800.395000000004,0,SW
Johor,2009,7,26.301555104800546,86.54428668018932,36780.14,0,SW
Johor,2009,8,26.427706792199057,87.34969737726966,49668.3,0,SW
Johor,2009,9,26.46768589298124,86.59624739402362,47306.79,0,SW
Johor,2009,10,26.34969737726967,87.52992602555481,29406.04,0,Inter
Johor,2009,11,25.962526023594727,87.30256766134629,36642.9,0,NE
Johor,2009,12,26.157966101694917,86.37084745762712,30716.2,0,NE
Johor,2010,1,26.505036937541973,83.04163868368032,23487.239999999998,0,NE
Johor,2010,2,27.66939687267312,79.43559195830231,14026.970000000001,0,NE
Johor,2010,3,27.515254237288136,81.54033898305084,30377.85,0,NE
Johor,2010,4,27.564066852367688,84.67618384401115,33710.815,0,Inter
Johor,2010,5,27.79863481228669,84.66552901023891,42021.03,0,SW
Johor,2010,6,27.00773558368495,85.61603375527426,46800.395000000004,0,SW
Johor,2010,7,26.471068754254595,86.16814159292035,36780.14,0,SW
Johor,2010,8,26.344093406593405,86.38942307692308,49668.3,0,SW
Johor,2010,9,26.4411149825784,85.47456445993032,47306.79,0,SW
Johor,2010,10,26.672998643147896,85.12279511533242,29406.04,0,Inter
Johor,2010,11,26.19759206798867,87.15368271954674,36642.9,0,NE
Johor,2010,12,25.69022869022869,86.52945252945253,30716.2,0,NE
Johor,2011,1,25.53846153846154,84.86417186417187,23487.239999999998,0,NE
Johor,2011,2,26.25823754789272,81.1984674329502,14026.970000000001,0,NE
Johor,2011,3,26.19359331476323,85.9275766016713,30377.85,0,NE
Johor,2011,4,27.071479628305934,83.71408148677627,33710.815,0,Inter
Johor,2011,5,27.17891816920943,86.998613037448,42021.03,0,SW
Johor,2011,6,26.959745762711865,87.98516949152543,46800.395000000004,0,SW
Johor,2011,7,27.0821155184412,85.68336812804453,36780.14,0,SW
Johor,2011,8,26.697543859649123,86.97543859649123,49668.3,0,SW
